Tsp,Tsr,Pts (MW),Pnt (MW),Time,Tn,Tp,Q (m3/h),E (MWh),temp,dew,humidity,snowdepth,windspeed
-6,99,0,1.855,1/1/2017 0:00,39.05,36.24,7.55,684300.9,-6,-9,79.32,0,5.4
-6,99,0,1.992,1/1/2017 1:00,39.05,36.24,7.55,684300.9,-7,-9,85.63,0,5.4
-7,100,0,1.27,1/1/2017 2:00,39.05,36.24,7.55,684300.9,-8,-10,85.52,0,3.6
-7,99,0,1.352,1/1/2017 3:00,39.05,36.24,7.55,684300.9,-8,-10,85.52,0,5.4
-7,100,0,1.877,1/1/2017 4:00,39.05,36.24,7.55,684300.9,-9.9,-11.8,85.94,0,5.3
-7,100,0,0.035,1/1/2017 5:00,39.3,31.12,5.14,684301,-9,-11,85.4,0,3.6
-7,100,0,0.052,1/1/2017 6:00,39.3,31.12,5.14,684301,-9,-11,85.4,0,7.6
-8,101,0,0.055,1/1/2017 7:00,39.3,31.12,5.14,684301,-9,-11,85.89,0,8.9
-7,100,0,2.257,1/1/2017 8:00,39.3,31.12,5.14,684301,-8,-11,79,0,7.6
-6,99,0,1.57,1/1/2017 9:00,39.3,31.12,5.14,684301,-6,-9,79.32,0,5.4
-4,96,0,1.557,1/1/2017 10:00,39.3,31.12,5.14,684301,-4.1,-7,79.92,0,3.6
-3,95,0,1.475,1/1/2017 11:00,39.3,31.12,5.14,684301,-3,-7,73.9,0,5.4
-2,94,0,1.171,1/1/2017 12:00,39,31.12,5.14,684301,-2,-7,68.62,0,3.6
0,91,0,1.317,1/1/2017 13:00,39,31.12,5.14,684301,-0.1,-6.9,60.18,0,1.9
0,91,0,1.37,1/1/2017 14:00,39,31.12,5.14,684301,1,-6,59.54,0,1.8
0,91,0,1.499,1/1/2017 15:00,39,31.12,5.14,684301,1,-7,55.15,0,1.8
0,91,0,1.646,1/1/2017 16:00,39,31.12,5.14,684301,-0.1,-7.9,55.77,0,3.6
-3,95,1.425,1.896,1/1/2017 17:00,39.06,31.12,5.14,684301,-3,-8,68.4,0,5.4
-2,94,0,1.741,1/1/2017 18:00,39.06,31.12,5.14,684301,-2,-7,68.62,0,9.4
-3,95,0,1.666,1/1/2017 19:00,39.06,31.12,5.14,684301,-4,-7.9,74.43,0,5.5
-4,96,0,1.838,1/1/2017 20:00,39.06,31.12,5.14,684301,-4,-8,73.71,0,11.2
-5,97,0,1.959,1/1/2017 21:00,39.06,31.12,5.14,684301,-5,-8,79.47,0,11.2
-5,97,3.582,1.214,1/1/2017 22:00,39.06,31.12,5.14,684301,-6,-8.9,79.78,0,7.3
-5,97,1.038,1.927,1/1/2017 23:00,39.06,31.12,5.14,684301,-6,-9,79.32,0,7.6
-6,99,0.774,1.253,1/2/2017 0:00,39,31.12,5.14,684301,-6,-10,73.32,0,9.4
-6,99,0,0,1/2/2017 1:00,39,31.12,5.14,684301,-7,-9.9,79.85,0,7.3
-6,99,0,0,1/2/2017 2:00,39,31.12,5.14,684301,-8,-11,79,0,7.6
-6,99,0,0,1/2/2017 3:00,39,31.12,5.14,684301,-7,-10,79.16,0,7.6
-7,100,0,0,1/2/2017 4:00,39,31.12,5.14,684301,-8,-10.9,79.7,0,8.9
-7,100,0,0.017,1/2/2017 5:00,39,31.12,5.14,684301,-8,-10,85.52,0,5.4
-7,99,0,2.425,1/2/2017 6:00,39,31.12,5.14,684301,-8,-11,79,0,5.4
-7,99,1.604,2.671,1/2/2017 7:00,39,31.12,5.14,684301,-8,-10.9,79.78,0,7.3
-7,99,0.924,2.008,1/2/2017 8:00,39.1,31.12,5.14,684301,-7,-10,79.16,0,5.4
-5,96,0.913,1.841,1/2/2017 9:00,39.1,31.12,5.14,684301,-4,-8,73.71,0,7.6
-2,92,0,2.044,1/2/2017 10:00,39.1,31.12,5.14,684301,-2,-6.1,73.29,0,5.3
0,89,0,1.926,1/2/2017 11:00,39.1,31.12,5.14,684301,0,-6,64,0,5.4
1,88,0,1.207,1/2/2017 12:00,39.2,31.12,5.14,684301,2,-6,55.42,0,5.4
3,85,0,1.525,1/2/2017 13:00,39.2,31.12,5.14,684301,3.9,-6.1,48.05,0,3.6
4,83,0,1.498,1/2/2017 14:00,39.2,31.12,5.14,684301,7,-5,42.15,0,3.6
5,82,0,1.461,1/2/2017 15:00,39.2,31.12,7.5,684301,6,-4,48.68,0,5.4
2,86,0,1.577,1/2/2017 16:00,39.2,31.12,7.5,684301,3.9,-4.1,55.95,0,0
0,89,0,1.725,1/2/2017 17:00,39.2,31.12,7.5,684301,1,-5,64.24,0,3.6
0,89,0,1.643,1/2/2017 18:00,39.2,31.12,7.5,684301,0,-5,69.05,0,7.6
-1,90,0,1.656,1/2/2017 19:00,39.2,31.12,7.5,684301,-2,-5.9,74.4,0,5.3
-1,90,2.19,1.598,1/2/2017 20:00,39.2,31.12,7.5,684301,-2,-5,79.93,0,7.6
-2,92,1.409,1.754,1/2/2017 21:00,39.05,36.24,7.5,684301,-2,-6,74.08,0,7.6
-2,92,0.958,2.183,1/2/2017 22:00,39.05,36.24,7.5,684301,-3,-6,80.06,0,10.6
-2,92,0,0,1/2/2017 23:00,39.05,36.24,7.5,684301,-4,-2,100,0,9.4
-3,93,0,0,1/3/2017 0:00,39.05,36.24,7.5,684301,-3,-6,79.78,0,11.2
-3,93,0,0,1/3/2017 1:00,39.05,36.24,7.5,684301,-4,-6,86.16,0,5.4
-2,92,0,0,1/3/2017 2:00,39.05,36.24,7.5,684301,-4,-6,85.96,0,3.6
-2,92,0,0,1/3/2017 3:00,39.05,36.24,7.5,684301,-3,-6,79.78,0,9.4
-1,90,0,0.025,1/3/2017 4:00,39.05,36.24,7.5,684301,-3,-6,80.27,0,5.3
-1,90,0,0,1/3/2017 5:00,39.05,36.24,7.5,684301,-2,-5,79.93,0,5.4
0,89,0,2.568,1/3/2017 6:00,39.05,36.24,7.5,684301,-3,-5,86.07,0,5.4
0,89,0,1.697,1/3/2017 7:00,39.05,36.24,7.5,684301,-2,-5,80.29,0,1.9
0,89,0,1.586,1/3/2017 8:00,39.05,36.24,7.5,684301,0,-4,74.45,0,14.8
1,88,0,1.5,1/3/2017 9:00,39.05,36.24,7.5,684301,2,-4,64.47,0,35.3
1,88,0,1.728,1/3/2017 10:00,39.05,36.24,7.5,684300.9,1.9,-3.1,69.38,0,37.1
1,88,0,1.618,1/3/2017 11:00,39.05,36.24,7.5,684300.9,1,-2,80.37,0,33.5
0,89,0,1.437,1/3/2017 12:00,39.1,36.24,7.5,684300.9,0,-2,86.39,0,24.1
1,88,0,1.52,1/3/2017 13:00,39.1,36.24,7.5,684300.9,0,-2.1,85.85,0,17.8
1,90,0,1.303,1/3/2017 14:00,39.1,36.24,7.5,684300.9,0,-2,86.39,0,14.8
0,91,2.409,1.279,1/3/2017 15:00,39.1,36.24,7.5,684300.9,0,-2,86.39,0,14.8
0,91,1.759,1.652,1/3/2017 16:00,39.1,36.24,7.5,684300.9,0,-2.1,85.94,0,7.3
0,91,1.644,1.596,1/3/2017 17:00,39.1,36.24,7.5,684300.9,0,-2,86.39,0,3.6
0,90,1.486,1.546,1/3/2017 18:00,39.1,36.24,7.5,684300.9,0,-2,86.39,0,1.8
0,91,0,1.364,1/3/2017 19:00,39.1,36.24,7.5,684300.9,-0.1,-2.1,86.08,0,5.3
0,91,0,1.52,1/3/2017 20:00,39.1,36.25,7.5,684300.9,0,-2,86.39,0,7.6
0,91,0,1.496,1/3/2017 21:00,39.1,36.25,7.5,684300.9,0,-2,86.39,0,7.6
0,91,0,0,1/3/2017 22:00,39.1,36.25,7.5,684300.9,-1,-2.1,92.53,0,3.6
0,91,0,0,1/3/2017 23:00,39.1,36.25,7.5,684300.9,-1,-2,92.92,0,3.6
0,91,0,0.041,1/4/2017 0:00,39.1,36.25,7.5,684300.9,-1,-2,92.92,0,0
0,91,0,0,1/4/2017 1:00,39.1,36.25,7.5,684300.9,-2,-3,92.72,0,3.6
0,91,0,0,1/4/2017 2:00,39.1,36.25,7.5,684300.9,-2,-2,100,0,1.8
0,91,0,0,1/4/2017 3:00,39.1,36.25,7.5,684300.9,-1,-2,92.92,0,1.8
0,91,0,0,1/4/2017 4:00,39.1,36.25,7.5,684300.9,-2,-2.1,99.47,0,1.9
-1,93,0,0,1/4/2017 5:00,39.1,36.25,7.5,684300.9,-2,-2,100,0,1.8
0,91,0,2.876,1/4/2017 6:00,39.1,36.25,7.5,684300.9,-2,-2,100,0,1.8
-1,93,0,1.69,1/4/2017 7:00,39.1,36.25,7.5,684300.9,-2,-3,92.87,0,5.3
0,91,0.419,1.56,1/4/2017 8:00,39.1,36.25,7.5,684300.9,-2,-3,92.86,0,1.8
0,91,0.358,1.62,1/4/2017 9:00,39.1,36.25,7.5,684300.9,-2,-2,100,1.04,5.4
0,91,0.323,1.584,1/4/2017 10:00,39.1,36.25,7.5,684300.9,-2,-2.1,99.52,1.08,5.3
0,91,0.304,1.495,1/4/2017 11:00,39.1,36.25,7.5,684300.9,-1,-2,92.92,1.13,7.6
2,89,0.295,1.41,1/4/2017 12:00,39.1,36.25,7.5,684300.9,1,-1,86.49,1.17,3.6
3,88,0.578,1.557,1/4/2017 13:00,39.1,36.25,7.5,684300.9,3.8,-0.1,75.41,1.21,1.9
4,87,0.361,1.124,1/4/2017 14:00,39.1,36.25,7.5,684300.9,5,0,70.09,1.25,3.6
4,87,0,1.558,1/4/2017 15:00,39.1,36.25,7.5,684300.9,4,-1,69.88,1.29,1.8
3,88,0,1.469,1/4/2017 16:00,39.1,36.25,7.5,684300.9,3,-1,74.95,1.33,1.8
1,90,0,1.546,1/4/2017 17:00,39.1,36.25,7.5,684300.9,2,-2,74.81,1.38,1.8
0,91,0,1.728,1/4/2017 18:00,39.1,36.25,7.5,684300.9,0,-2,86.39,1.42,3.6
0,91,0,1.435,1/4/2017 19:00,39.1,36.25,7.5,684300.9,0.8,-2,81.13,1.46,3.6
0,91,0,1.553,1/4/2017 20:00,39.1,36.25,7.5,684300.9,0,-2,86.39,1.5,7.6
0,91,0,1.439,1/4/2017 21:00,39.1,36.25,7.5,684300.9,0,-2,86.39,1.54,9.4
0,91,0,0,1/4/2017 22:00,39.1,36.25,7.5,684300.9,-0.1,-2,86.94,1.58,5.4
1,91,0,0,1/4/2017 23:00,10.85,0.06,0,860406.4,2,-1,80.51,1.63,3.6
1,90,0,0,1/5/2017 0:00,39.1,36.25,7.5,684300.9,2,-1,80.51,1.67,29.5
0,91,0,0.028,1/5/2017 1:00,39.1,36.25,7.5,684300.9,1,-0.1,92.7,1.71,27.9
0,91,0,0.015,1/5/2017 2:00,39.1,36.25,7.5,684300.9,1,0,93.03,1.75,25.9
0,91,0,0.021,1/5/2017 3:00,39.1,36.25,7.5,684300.9,0,0,100,1.79,14.8
0,91,0,0.024,1/5/2017 4:00,39.1,36.25,7.5,684300.9,0,-0.1,99.48,1.83,9.2
0,91,0,0.009,1/5/2017 5:00,39.1,36.25,7.5,684300.9,0,-1,92.98,1.87,7.6
0,91,0,2,1/5/2017 6:00,39.1,36.25,7.5,684300.9,0,-1,92.97,1.92,3.6
0,91,0,1.164,1/5/2017 7:00,39.1,36.25,7.5,684300.9,-0.1,-1,93.08,1.96,7.3
0,91,0.716,1.953,1/5/2017 8:00,39.1,36.25,7.5,684300.9,0,-1,92.97,2,3.6
1,90,0.33,1.55,1/5/2017 9:00,39.1,36.25,7.5,684300.9,1,-1,86.49,2.75,13
1,90,0.312,1.525,1/5/2017 10:00,39.1,36.25,7.5,684300.9,0.9,-1,86.91,3.5,17.3
1,90,0.309,1.628,1/5/2017 11:00,39.1,36.25,7.5,684300.9,0,-1,92.97,4.25,13
1,90,0.298,1.509,1/5/2017 12:00,39.1,36.25,7.5,684300.9,-0.2,-2,87.65,0,13
1,90,0.766,2.065,1/5/2017 13:00,39.1,36.25,7.5,684300.9,0,-0.1,99.33,5.75,15.9
1,90,0,1.749,1/5/2017 14:00,38.8,36.24,7.5,684300.9,0,-1,92.97,6.5,18.4
0,91,0,1.692,1/5/2017 15:00,38.8,36.24,7.5,684300.9,0,-1,92.97,7.25,16.6
0,91,0,1.733,1/5/2017 16:00,38.8,36.24,7.5,684300.9,0,-1.1,92.74,8,25.1
0,91,0,1.723,1/5/2017 17:00,38.8,36.24,7.5,684300.9,0,-2,86.39,8.75,31.7
0,91,2.665,1.368,1/5/2017 18:00,38.8,36.24,7.5,684300.9,0,-2,86.39,9.5,31.7
0,91,0.644,1.666,1/5/2017 19:00,38.8,36.24,7.5,684300.9,-1,-2.1,92.58,10.25,28.9
0,91,1.377,1.768,1/5/2017 20:00,38.8,36.24,7.5,684300.9,-1,-2,92.92,11,31.7
-1,93,0.925,1.718,1/5/2017 21:00,38.8,36.24,7.5,684300.9,-1,-2,92.92,11.75,38.9
-1,93,0.963,0.264,1/5/2017 22:00,38.8,36.24,7.5,684300.9,-2,-3,92.87,12.5,37.6
-2,94,0,0,1/5/2017 23:00,38.8,36.24,7.5,684300.9,-2,-3,92.86,13.25,38.9
-2,94,0,0,1/6/2017 0:00,38.8,36.24,7.5,684300.9,-2,-4,86.18,14,40.7
-2,94,0,0,1/6/2017 1:00,38.8,36.24,7.5,684300.9,-2.1,-4,86.65,14.75,39.5
-4,96,0,0.027,1/6/2017 2:00,38.8,36.24,7.5,684300.9,-4,-6,85.96,15.5,51.8
-5,97,0,0.022,1/6/2017 3:00,38.8,36.24,7.5,684300.9,-5,-7,85.85,16.25,59.4
-6,99,0.678,0.712,1/6/2017 4:00,39,2.96,2.56,684300.9,-6,-8,86.27,17,62.9
0,0,0,0,1/6/2017 5:00,0,0,0,0,-7,-8,92.57,17.75,66.6
0,0,0,0,1/6/2017 6:00,0,0,0,0,-8,-9,92.51,18.5,63
-8,100,0.847,4.796,1/6/2017 7:00,39,2.96,2.56,684300.9,-8,-10,86.01,19.25,58
-8,100,1.781,1.548,1/6/2017 8:00,38.9,31.12,2.56,684300.9,-8,-10,85.52,20,57.6
-8,99,1.371,2.419,1/6/2017 9:00,38.9,31.12,2.56,684300.9,-8,-10,85.52,20,50
-8,100,1.069,2.196,1/6/2017 10:00,39.3,36.24,2.56,684300.9,-8.1,-11,79.82,20,49.6
-8,100,1.747,2.11,1/6/2017 11:00,39.3,36.24,2.56,684300.9,-9,-11,85.45,20,43
-8,100,1.254,1.944,1/6/2017 12:00,39.3,36.24,2.56,684300.9,-9,-12,78.84,20,59.4
-8,100,1.241,1.857,1/6/2017 13:00,39.3,36.24,2.56,684300.9,-9.1,-12,79.44,20,49.6
-8,101,1.426,1.888,1/6/2017 14:00,38.9,31.12,7.5,684300.9,-9,-12,78.84,20,51.8
-9,101,0.769,1.963,1/6/2017 15:00,38.9,31.12,7.5,684300.9,-10,-12,85.28,20,53.6
-9,101,1.376,2.045,1/6/2017 16:00,38.9,31.12,5.13,684300.9,-10,-13,79.06,20,50.1
-9,101,0.933,1.963,1/6/2017 17:00,38.9,31.12,5.13,684300.9,-10,-13,78.68,20,51.8
-9,101,1.113,1.986,1/6/2017 18:00,38.9,31.12,5.13,684300.9,-10,-12,85.28,20,42.5
-9,101,1.095,1.575,1/6/2017 19:00,38.87,31.12,5.13,684300.9,-10,-12,85.59,20,20.1
-9,101,1.235,1.917,1/6/2017 20:00,38.87,31.12,5.13,684300.9,-10,-12,85.28,20,38.9
-9,101,1.521,1.939,1/6/2017 21:00,38.87,31.12,5.13,684300.9,-10,-13,78.68,20,31.7
-9,101,1.299,1.982,1/6/2017 22:00,38.87,31.12,5.13,684300.9,-10.1,-13.9,73.4,20,28.4
-10,103,0.925,2.23,1/6/2017 23:00,38.87,31.12,7.5,684300.9,-10,-16,61.51,20,33.5
-10,103,1.463,1.888,1/7/2017 0:00,38.87,31.12,7.5,684300.9,-11,-17,61.25,20,38.9
-11,104,0.99,0.839,1/7/2017 1:00,38.85,36.24,7.5,684300.9,-11.1,-15.9,67.48,20,35.9
-11,99,0.776,1.301,1/7/2017 2:00,38.85,36.24,7.5,684300.9,-12,-16,72.13,20,33.5
-11,99,1.276,1.145,1/7/2017 3:00,38.85,36.24,7.5,684300.9,-12,-17,66.35,20,37.1
-12,100,1.031,1.532,1/7/2017 4:00,38.85,36.24,7.5,684300.9,-12.1,-16.9,67.09,20,33.5
-12,100,0.781,1.169,1/7/2017 5:00,38.85,36.24,7.5,684300.9,-13,-17,71.92,20,31.7
-12,100,1.289,3.3,1/7/2017 6:00,38.85,36.24,7.5,684300.9,-13,-17,71.92,20,33.5
-12,100,1.271,2.009,1/7/2017 7:00,38.85,36.24,7.5,684300.9,-13,-16.9,72.71,20,33.8
-12,100,0.997,2.015,1/7/2017 8:00,38.85,36.24,7.5,684300.9,-13,-17,71.92,20,31.7
-11,99,0.998,1.798,1/7/2017 9:00,38.85,36.24,7.5,684300.9,-13,-17,71.92,19.88,24.1
-10,98,0.742,1.947,1/7/2017 10:00,38.85,36.24,7.5,684300.9,-12.1,-16.9,67.27,19.75,28.2
-10,98,0.895,2.071,1/7/2017 11:00,38.85,36.24,7.5,684300.9,-12,-17,66.35,19.63,33.5
-9,96,0.814,1.803,1/7/2017 12:00,38.85,36.24,7.5,684300.9,-12,-18,60.99,19.5,31.7
-9,96,1.283,0.477,1/7/2017 13:00,38.85,36.24,7.5,684300.9,-11.1,-17.9,57.33,19.38,37.1
-10,98,1.003,1.346,1/7/2017 14:00,38.85,36.24,7.5,684300.9,-11,-18,56.3,19.25,27.7
-10,98,1.121,1.487,1/7/2017 15:00,38.85,36.24,7.5,684300.9,-11,-19,51.71,19.13,35.3
-11,103,1.195,2.109,1/7/2017 16:00,38.85,36.24,7.5,684300.9,-12,-18.9,56.89,19,27.9
-11,99,1.105,1.699,1/7/2017 17:00,38.85,36.24,7.5,684300.9,-12,-19,56.02,18.88,24.1
-11,99,1.336,1.928,1/7/2017 18:00,38.85,36.24,7.5,684300.9,-12,-18,60.99,18.75,25.9
-11,99,1.289,1.765,1/7/2017 19:00,38.85,36.24,7.5,684300.9,-12,-17.8,62.08,18.62,19.6
-10,98,0.967,1.769,1/7/2017 20:00,38.85,36.24,7.5,684300.9,-12,-18,60.99,18.5,11.2
-10,98,0.834,1.759,1/7/2017 21:00,38.85,36.24,7.5,684300.9,-12,-19,56.02,18.38,18.4
-12,100,0.976,1.713,1/7/2017 22:00,38.89,36.24,7.5,684300.9,-13,-19.8,56.52,18.25,7.3
-12,100,1.034,2.241,1/7/2017 23:00,38.88,36.24,7.5,684300.9,-14,-20,60.45,18.13,1.8
-13,102,1.095,0.588,1/8/2017 0:00,38.86,36.24,7.5,684300.9,-14,-20,60.45,18,1.8
-13,102,1.207,1.232,1/8/2017 1:00,38.86,36.24,7.5,684300.9,-15,-20.8,61.26,17.88,3.6
-14,103,1.174,1.467,1/8/2017 2:00,38.86,36.24,7.5,684300.9,-16,-21,65.38,17.75,5.4
-15,105,0.936,1.32,1/8/2017 3:00,38.86,36.24,7.5,684300.9,-17,-20,77.49,17.63,1.8
-15,105,1.338,1.189,1/8/2017 4:00,38.86,36.24,7.5,684300.9,-17.1,-20.9,72.27,17.5,5.3
-16,105,1.399,1.318,1/8/2017 5:00,38.89,36.24,7.5,684300.9,-18,-21,77.32,17.38,7.6
-16,105,1.245,3.375,1/8/2017 6:00,38.88,36.24,7.5,684300.9,-18,-22,70.85,17.25,3.6
-16,105,0.966,2.339,1/8/2017 7:00,38.88,36.24,7.5,684300.9,-19.9,-22.8,78.15,17.12,1.8
-16,105,1.357,2.146,1/8/2017 8:00,38.85,36.24,7.5,684300.9,-19,-22,77.14,17,1.8
-15,105,1.254,2.241,1/8/2017 9:00,38.85,36.24,7.5,684300.9,-15,-20,65.62,17.04,1.8
-13,102,1.153,1.819,1/8/2017 10:00,38.85,36.24,7.5,684300.9,-15,-18.9,71.95,17.08,3.6
-12,100,1.156,2.061,1/8/2017 11:00,39.05,36.24,7.5,684300.9,-13,-19,60.72,17.13,1.8
-9,100,2.016,1.757,1/8/2017 12:00,39.05,36.24,7.5,684300.9,-11,-18,56.3,17.17,1.8
-9,101,1.89,1.813,1/8/2017 13:00,39.05,36.24,7.5,684300.9,-11,-18.9,52.45,17.21,0.3
-8,100,1.553,1.917,1/8/2017 14:00,39.05,36.24,7.5,684300.9,-10,-18,52.01,17.25,3.6
-9,101,1.463,1.794,1/8/2017 15:00,39.05,36.24,7.5,684300.9,-10,-18,52.01,17.29,5.4
-9,101,1.847,1.798,1/8/2017 16:00,39.2,36.24,7.5,684300.9,-10.1,-17.9,52.8,17.33,1.9
-10,103,1.87,1.718,1/8/2017 17:00,39.2,36.24,7.5,684300.9,-10,-19,47.77,17.38,7.6
-10,103,1.778,1.723,1/8/2017 18:00,39.2,36.24,7.5,684300.9,-11,-18,56.3,17.42,5.4
-10,103,1.809,1.845,1/8/2017 19:00,39.1,36.24,7.5,684300.9,-11,-17.9,56.91,17.46,7.3
-9,101,1.76,1.76,1/8/2017 20:00,39.1,36.24,7.5,684300.9,-9,-18,48.08,17.5,24.1
-9,105,1.748,1.748,1/8/2017 21:00,39.2,36.24,7.5,684300.9,-9,-19,44.16,17.54,14.8
-8,104,1.791,1.764,1/8/2017 22:00,39.2,36.24,7.5,684300.9,-9.1,-16.9,53.05,17.58,10.6
-8,104,1.792,1.78,1/8/2017 23:00,39.2,36.24,7.5,684300.9,-9,-16,56.86,17.63,9.4
-8,101,0.285,1.539,1/9/2017 0:00,39,36.24,7.5,684300.9,-9,-15,61.77,17.67,11.2
-8,101,1.087,1.876,1/9/2017 1:00,39,36.24,7.5,684300.9,-9.1,-13.9,68.04,17.71,0.3
-8,101,1.449,1.014,1/9/2017 2:00,39,36.24,7.5,684300.9,-9,-14,67.05,17.75,1.8
-8,101,1.488,1.442,1/9/2017 3:00,39,36.24,7.5,684300.9,-9,-14,67.05,17.79,3.6
-8,101,1.767,1.44,1/9/2017 4:00,39,36.24,7.5,684300.9,-9.1,-12.9,73.88,17.83,5.3
-8,101,2.173,1.283,1/9/2017 5:00,39,36.24,7.5,684300.9,-9,-13,72.73,17.88,5.4
-8,101,1.572,2.174,1/9/2017 6:00,39.1,36.24,7.5,684300.9,-10,-12,85.28,17.92,14.8
-8,101,1.685,1.952,1/9/2017 7:00,39.1,36.24,7.5,684300.9,-10,-11.9,85.68,17.96,8.9
-7,100,1.736,1.811,1/9/2017 8:00,39.1,36.24,7.5,684300.9,-10,-13,78.68,18,7.6
-6,99,1.712,1.783,1/9/2017 9:00,39.15,36.24,7.5,684300.9,-9,-12,78.84,17.96,9.4
-5,97,1.539,1.821,1/9/2017 10:00,39.15,36.24,7.5,684300.9,-9,-11.9,79.44,17.92,14.2
-4,96,1.601,1.694,1/9/2017 11:00,39.15,36.24,7.5,684300.9,-8,-12,72.93,17.88,14.8
-5,97,1.698,1.841,1/9/2017 12:00,39.15,36.24,7.5,684300.9,-8,-12,72.93,17.83,22.3
-6,97,1.613,2.323,1/9/2017 13:00,39.15,36.24,7.5,684300.9,-8.1,-13,67.88,17.79,23.1
-5,96,1.599,1.989,1/9/2017 14:00,39.15,36.24,7.5,684300.9,-8,-13,67.28,17.75,18.4
-6,97,0.261,2.122,1/9/2017 15:00,39.08,36.24,7.5,684300.9,-9,-14,67.05,17.71,18.4
-7,99,0.888,1.335,1/9/2017 16:00,39.08,36.24,7.5,684300.9,-10,-13.9,73.09,17.67,12.3
-9,101,0.838,1.851,1/9/2017 17:00,39.08,36.24,7.5,684300.9,-11,-15,72.33,17.63,13
-10,102,1.026,1.484,1/9/2017 18:00,39.08,36.24,7.5,684300.9,-11,-16,66.58,17.58,11.2
-10,97,0.894,2.021,1/9/2017 19:00,39,36.24,7.5,684300.9,-13.9,-16.9,78.41,17.54,1.9
-10,97,0.89,1.888,1/9/2017 20:00,38.9,36.24,7.5,684300.9,-12,-17,66.35,17.5,7.6
-10,97,0.719,2.011,1/9/2017 21:00,38.9,36.24,7.5,684300.9,-13,-17,71.92,17.46,3.6
-13,97,1.239,1.95,1/9/2017 22:00,38.9,36.24,7.5,684300.9,-15,-18.8,72.63,17.42,5.3
-13,97,1.095,1.239,1/9/2017 23:00,38.9,36.24,7.5,684300.9,-15,-18,77.84,17.38,3.6
-12,95,0.462,0.154,1/10/2017 0:00,38.86,36.24,7.5,684300.9,-17,-20,77.49,17.33,3.6
-13,97,0.889,1.152,1/10/2017 1:00,38.86,36.24,7.5,684300.9,-15,-17.9,78.56,17.29,3.6
-11,94,0.701,0,1/10/2017 2:00,38.86,36.24,7.5,684300.9,-14,-17,78.01,17.25,16.6
-11,94,0.954,0,1/10/2017 3:00,38.86,36.24,7.5,684300.9,-12,-16,72.13,17.21,18.4
-10,93,1.323,0,1/10/2017 4:00,38.86,36.24,7.5,684300.9,-13,-15.9,79.02,17.17,21
-11,94,0.856,1.689,1/10/2017 5:00,38.8,36.24,7.5,684300.9,-13,-16,78.18,17.13,20.5
-11,103,1.939,1.298,1/10/2017 6:00,38.8,36.24,7.5,684300.9,-12,-17,66.35,17.08,16.6
-11,98,1.528,2.021,1/10/2017 7:00,39.1,36.24,7.5,684300.9,-13,-16.8,72.93,17.04,19.3
-11,98,1.782,2.172,1/10/2017 8:00,39.1,36.24,7.5,684300.9,-13,-17,71.92,17,20.5
-9,95,1.581,1.827,1/10/2017 9:00,39.1,36.24,7.5,684300.9,-12,-16,72.13,17.17,20.5
-8,94,1.592,1.922,1/10/2017 10:00,39.1,36.24,7.5,684300.9,-11,-15.9,67.2,17.33,17.3
-7,92,1.434,1.529,1/10/2017 11:00,39.18,36.24,7.5,684300.9,-10,-16,61.51,17.5,20.5
-4,92,1.457,1.55,1/10/2017 12:00,39.18,36.24,7.5,684300.9,-10,-15,66.82,17.67,22.3
-5,94,1.596,1.722,1/10/2017 13:00,39.18,36.24,7.5,684300.9,-9.9,-14.9,66.48,17.83,21
-5,94,0.482,1.498,1/10/2017 14:00,39.18,36.24,7.5,684300.9,-9,-14,67.05,18,22.3
-5,94,1.314,1.807,1/10/2017 15:00,39.18,36.24,7.5,684300.9,-9,-14,67.05,18.17,22.3
-7,97,1.422,1.832,1/10/2017 16:00,39.18,36.24,7.5,684300.9,-9,-13.8,68.06,18.33,19.5
-7,97,1.035,1.857,1/10/2017 17:00,39.18,36.24,7.5,684300.9,-10,-13,78.68,18.5,20.5
-9,100,1.307,1.534,1/10/2017 18:00,39.18,36.24,7.5,684300.9,-10,-13,78.68,18.67,18.4
-8,99,0.656,1.623,1/10/2017 19:00,39.18,36.24,7.5,684300.9,-10,-13,79.23,18.83,18.3
-8,99,0.704,1.726,1/10/2017 20:00,38.85,36.24,7.5,684300.9,-10,-13,78.68,19,16.6
-9,100,0.56,1.818,1/10/2017 21:00,38.85,36.24,7.5,684300.9,-10,-13,78.68,19.17,16.6
-8,99,1.08,1.83,1/10/2017 22:00,38.85,36.24,7.5,684300.9,-11,-12.9,85.62,19.33,17.8
-9,100,0.872,1.627,1/10/2017 23:00,38.82,36.24,7.5,684300.9,-11,-13,85.17,19.5,18.4
-9,100,0.588,1.643,1/11/2017 0:00,97.28,72.86,48.6,11341.6,-10,-14,72.53,19.67,16.6
-8,99,0.773,0,1/11/2017 1:00,38.82,36.24,7.5,684300.9,-10.1,-13,79.37,19.83,5.3
-9,100,0.971,0,1/11/2017 2:00,38.82,36.24,7.5,684300.9,-11,-13,85.17,20,1.8
-8,99,1.192,0,1/11/2017 3:00,38.82,36.24,7.5,684300.9,-11,-13,85.17,20.17,1.8
-9,100,1.952,2.485,1/11/2017 4:00,38.95,36.24,7.5,684300.9,-11,-12.9,85.81,20.33,1.9
-10,102,1.371,1.557,1/11/2017 5:00,39.05,36.24,7.5,684300.9,-11,-13,85.17,20.5,0
-10,102,1.708,1.856,1/11/2017 6:00,39.1,36.24,7.5,684300.9,-12,-14,85.05,20.67,3.6
